UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total_Students,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
128498001,Albertus Magnus College,Main Campus,700 PROSPECT ST,NEW HAVEN,CT,065111189,2,"Private nonprofit, 4-year or above",520,1062,1582,0,5,75,0,37,58,0,3,49
128744001,University of Bridgeport,Main Campus,126 Park Avenue,Bridgeport,CT,06604,2,"Private nonprofit, 4-year or above",1820,3022,4842,0,8,8,0,0,3,2,0,10
128771001,Central Connecticut State University,Main Campus,1615 STANLEY ST,NEW BRITAIN,CT,06050,1,"Public, 4-year or above",5828,6037,11865,0,24,320,0,26,189,0,40,163
128902001,Connecticut College,Connecticut College,270 MOHEGAN AVE,NEW LONDON,CT,06320,2,"Private nonprofit, 4-year or above",759,1163,1922,3,133,186,2,107,168,1,91,138
129020001,University of Connecticut,Main Campus,126 North Eagleville Road,STORRS,CT,062693070,1,"Public, 4-year or above",12957,12954,25911,0,100,571,1,177,554,1,125,483
129215001,Eastern Connecticut State University,Eastern Connecticut State University,83 WINDHAM ST,WILLIMANTIC,CT,06226,1,"Public, 4-year or above",2444,2924,5368,0,62,629,0,43,516,3,70,315
129242001,Fairfield University,Main Campus,1073 NORTH BENSON RD,FAIRFIELD,CT,068245195,2,"Private nonprofit, 4-year or above",1905,3014,4919,1,38,1153,0,69,1055,0,94,1270
129525001,University of Hartford,Main Campus,200 BLOOMFIELD AVE,WEST HARTFORD,CT,061171599,2,"Private nonprofit, 4-year or above",3228,3592,6820,2,266,506,1,176,295,1,192,176
129941001,University of New Haven,University of New Haven,300 Boston Post Rd.,WEST HAVEN,CT,06516,2,"Private nonprofit, 4-year or above",3300,3255,6555,1,69,250,0,45,273,1,22,442
130226001,Quinnipiac University,Main Campus,275 MOUNT CARMEL AVE,HAMDEN,CT,06518,2,"Private nonprofit, 4-year or above",3275,5528,8803,7,160,684,5,111,634,0,79,663
130253001,Sacred Heart University,Main Campus,5151 PARK AVE,FAIRFIELD,CT,068251000,2,"Private nonprofit, 4-year or above",2265,4718,6983,1,45,458,0,39,439,1,26,441
130493001,Southern Connecticut State University,Main Campus,501 CRESCENT STREET,NEW HAVEN,CT,065151355,1,"Public, 4-year or above",3887,6917,10804,0,41,358,0,78,373,0,83,308
130590001,Trinity College,Main Campus Trinity College,300 SUMMIT ST,HARTFORD,CT,061063100,2,"Private nonprofit, 4-year or above",1217,1173,2390,0,52,176,0,149,275,1,58,243
130697001,Wesleyan University,Main Campus,229 HIGH ST,MIDDLETOWN,CT,06459,2,"Private nonprofit, 4-year or above",1539,1666,3205,1,154,379,0,281,604,1,240,571
130776001,Western Connecticut State University,Mid Town Campus,181 WHITE ST,DANBURY,CT,068106860,1,"Public, 4-year or above",2752,3273,6025,1,9,58,0,2,40,1,5,47
130776002,Western Connecticut State University,West Side Campus,43 Lake Ave. Extension,Danbury,CT,068106860,1,"Public, 4-year or above",2752,3273,6025,1,5,63,1,4,67,0,5,77
130794001,Yale University,Main Campus,105 Wall Street,NEW HAVEN,CT,06520,2,"Private nonprofit, 4-year or above",6148,5961,12109,0,8,7,0,1,52,0,10,33
183822001,Bloomfield College,Main Campus,467 FRANKLIN ST,BLOOMFIELD,NJ,070033494,2,"Private nonprofit, 4-year or above",688,1291,1979,0,1,4,1,0,0,0,2,2
183910001,Caldwell College,Main Campus,120 Bloomfield AVE,CALDWELL,NJ,070066195,2,"Private nonprofit, 4-year or above",602,1558,2160,0,2,65,0,7,47,0,7,28
183974001,Centenary College,Hackettstown,400 JEFFERSON ST,HACKETTSTOWN,NJ,07840,2,"Private nonprofit, 4-year or above",883,1517,2400,0,2,42,0,0,32,0,1,33
184348001,Drew University,Main Campus,36 MADISON AVE,MADISON,NJ,07940,2,"Private nonprofit, 4-year or above",942,1349,2291,1,98,258,2,93,323,2,152,291
184603001,Fairleigh Dickinson University-Metropolitan Campus,Metropolitan,1000 RIVER RD,TEANECK,NJ,07666,2,"Private nonprofit, 4-year or above",3455,5091,8546,0,7,19,0,15,16,0,10,5
184612001,Felician College,Main Campus,1 Felician Way,Rutherford,NJ,07070,2,"Private nonprofit, 4-year or above",501,1432,1933,1,0,64,0,3,36,1,1,67
184694001,Fairleigh Dickinson University-College at Florham,Florham,285 MADISON AVE,MADISON,NJ,07940,2,"Private nonprofit, 4-year or above",1302,1727,3029,0,25,142,0,0,187,1,13,63
184773001,Georgian Court University,Main Campus,900 LAKEWOOD AVE,LAKEWOOD,NJ,087012697,2,"Private nonprofit, 4-year or above",420,1837,2257,0,2,5,0,0,5,0,0,6
