School DBN,School Name,Date,Total Present,Total Absent
01M015,P.S. 015 ROBERTO CLEMENTE,1/3/2012,175,18
01M015,P.S. 015 ROBERTO CLEMENTE,1/4/2012,174,18
01M015,P.S. 015 ROBERTO CLEMENTE,1/5/2012,181,11
01M015,P.S. 015 ROBERTO CLEMENTE,1/6/2012,169,23
01M015,P.S. 015 ROBERTO CLEMENTE,1/9/2012,175,17
01M015,P.S. 015 ROBERTO CLEMENTE,1/10/2012,178,14
01M015,P.S. 015 ROBERTO CLEMENTE,1/11/2012,174,16
01M015,P.S. 015 ROBERTO CLEMENTE,1/12/2012,168,22
01M015,P.S. 015 ROBERTO CLEMENTE,1/13/2012,174,16
01M015,P.S. 015 ROBERTO CLEMENTE,1/17/2012,169,22
01M015,P.S. 015 ROBERTO CLEMENTE,1/18/2012,181,10
01M015,P.S. 015 ROBERTO CLEMENTE,1/19/2012,176,15
01M015,P.S. 015 ROBERTO CLEMENTE,1/20/2012,181,10
01M015,P.S. 015 ROBERTO CLEMENTE,1/23/2012,172,21
01M015,P.S. 015 ROBERTO CLEMENTE,1/24/2012,179,16
01M015,P.S. 015 ROBERTO CLEMENTE,1/25/2012,179,12
01M015,P.S. 015 ROBERTO CLEMENTE,1/26/2012,175,17
01M015,P.S. 015 ROBERTO CLEMENTE,1/27/2012,162,14
01M015,P.S. 015 ROBERTO CLEMENTE,1/30/2012,174,18
01M015,P.S. 015 ROBERTO CLEMENTE,1/31/2012,183,8
01M019,P.S. 019 ASHER LEVY,1/3/2012,292,36
01M019,P.S. 019 ASHER LEVY,1/4/2012,295,33
01M019,P.S. 019 ASHER LEVY,1/5/2012,314,14
01M019,P.S. 019 ASHER LEVY,1/6/2012,306,22
01M019,P.S. 019 ASHER LEVY,1/9/2012,305,25
01M019,P.S. 019 ASHER LEVY,1/10/2012,314,15
01M019,P.S. 019 ASHER LEVY,1/11/2012,311,18
01M019,P.S. 019 ASHER LEVY,1/12/2012,296,34
01M019,P.S. 019 ASHER LEVY,1/13/2012,306,24
01M019,P.S. 019 ASHER LEVY,1/17/2012,310,19
01M019,P.S. 019 ASHER LEVY,1/18/2012,315,14
01M019,P.S. 019 ASHER LEVY,1/19/2012,310,19
01M019,P.S. 019 ASHER LEVY,1/20/2012,304,25
01M019,P.S. 019 ASHER LEVY,1/23/2012,295,35
01M019,P.S. 019 ASHER LEVY,1/24/2012,305,25
01M019,P.S. 019 ASHER LEVY,1/25/2012,312,18
01M019,P.S. 019 ASHER LEVY,1/26/2012,312,18
01M019,P.S. 019 ASHER LEVY,1/27/2012,274,24
