                            Policy Statistics
                                Country-Wide
                               AS OF 08/31/2018
                     Policies       Insurance          Written
   State Name        In-force      In-force whole $  Premium in-force
  ----------------   ---------     ----------------  ----------------
  Alaska                 2,432          666,119,400        2,187,477
  Alabama               54,593       12,915,216,300       37,383,443
  Arkansas              15,967        2,973,594,400       13,473,781
  American Samoa           128            1,873,700           37,314
  Arizona               31,380        7,995,235,500       20,912,251
  California           230,479       66,721,698,200      185,356,027
  N Mariana Islands          5              372,100           20,031
  Colorado              20,980        5,462,498,500       17,925,445
  Connecticut           37,569        9,602,682,100       52,216,602
  District Columbia      2,052          501,840,300        1,479,036
  Delaware              26,790        7,100,158,800       19,398,935
  Florida            1,776,121      441,996,618,600      976,395,923
  Georgia               87,378       23,523,507,500       61,062,474
  Guam                     183           37,036,600          347,712
  Hawaii                60,943       14,096,807,100       40,914,609
  Iowa                  12,340        2,577,974,600       12,855,289
  Idaho                  6,009        1,540,258,000        4,483,591
  Illinois              40,193        8,079,362,700       41,897,489
  Indiana               22,188        4,440,150,600       22,034,195
  Kansas                 9,241        1,838,386,300        8,071,338
  Kentucky              20,551        3,588,095,100       19,947,139
  Louisiana            503,689      132,605,157,700      335,280,790
  Massachusetts         62,020       16,051,415,100       77,463,597
  Maryland              66,741       16,067,254,900       38,164,879
  Maine                  8,274        2,005,264,600        8,762,003
  Michigan              20,287        3,841,718,800       20,350,524
  Minnesota              8,737        2,134,977,300        7,872,373
  Missouri              20,501        4,083,789,000       21,781,709
  Mississippi           63,309       15,664,243,400       43,848,411
  Montana                5,253        1,134,687,600        3,694,071
  North Carolina       134,604       33,808,703,900      110,359,071
  North Dakota           9,684        2,684,181,100        6,519,447
  Nebraska               8,803        1,742,747,400        8,840,562
  New Hampshire          8,107        1,829,601,700        8,576,293
  New Jersey           224,420       56,466,037,500      215,883,429
  New Mexico            12,442        2,647,169,800       10,454,418
  Nevada                11,277        2,970,778,600        8,161,619
  New York             178,160       49,001,650,500      205,144,617
  Ohio                  31,942        6,016,077,800       33,345,997
  Oklahoma              13,031        2,811,906,500       11,115,835
  Oregon                27,232        6,984,209,400       24,361,053
  Pennsylvania          55,596       11,997,330,800       65,150,667
  Puerto Rico           10,232        1,157,539,300        7,349,437
  Rhode Island          13,406        3,537,474,500       18,582,092
  South Carolina       204,730       54,087,490,800      137,407,878
  South Dakota           3,363          754,583,800        3,102,993
  Tennessee             28,664        7,109,049,600       24,484,342
  Texas                748,269      208,831,368,800      433,468,863
  Utah                   3,841          994,052,500        2,508,823
  Virginia             105,931       27,930,765,500       77,956,689
  Virgin Islands         1,674          295,584,400        2,067,717
  Vermont                3,568          799,115,500        4,940,692
  Washington            35,442        9,255,077,600       31,976,163
  Wisconsin             12,050        2,401,050,400       11,781,590
  West Virginia         15,212        2,314,156,100       16,782,156
  Wyoming                1,790          463,173,500        1,597,055
                    ----------     ---------------- ----------------
  Total              5,119,803    1,308,138,872,100    3,577,537,956
