Type,Age Adjusted Rate,Year,Deaths,Population,Crude Rate
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",204,1979,403395,224635398,179.6
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",207.9,1980,416509,226624371,183.8
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",206.4,1981,422094,229487512,183.9
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",208.3,1982,433795,231701425,187.2
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",209.1,1983,442986,233781743,189.5
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",210.8,1984,453492,235922142,192.2
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",211.3,1985,461563,238005715,193.9
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",211.5,1986,469376,240189882,195.4
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",211.7,1987,476927,242395034,196.8
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",212.5,1988,485048,244651961,198.3
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",214.2,1989,496152,247001762,200.9
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",216,1990,505322,248922111,203
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",215.2,1991,514657,253088068,203.4
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",213.5,1992,520578,256606463,202.9
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",213.5,1993,529904,260024637,203.8
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",211.7,1994,534310,263241475,203
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",209.8,1995,538455,266386596,202.1
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",206.7,1996,539533,269540779,200.2
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",203.5,1997,539577,272776678,197.8
"Malignant neoplasms, including neoplasms of lymphatic and hematopoietic tissues (140-208)",200.7,1998,541532,276032848,196.2
Malignant neoplasms (cancer) (C00ÐC97),200.8,1999,549838,279040168,197
Malignant neoplasms (cancer) (C00ÐC97),199.6,2000,553091,281421906,196.5
Malignant neoplasms (cancer) (C00ÐC97),196.5,2001,553768,284968955,194.3
Malignant neoplasms (cancer) (C00ÐC97),194.3,2002,557271,287625193,193.7
Malignant neoplasms (cancer) (C00ÐC97),190.9,2003,556902,290107933,192
Malignant neoplasms (cancer) (C00ÐC97),186.8,2004,553888,292805298,189.2
Malignant neoplasms (cancer) (C00ÐC97),185.1,2005,559312,295516599,189.3
Malignant neoplasms (cancer) (C00ÐC97),181.8,2006,559888,298379912,187.6
Malignant neoplasms (cancer) (C00ÐC97),179.3,2007,562875,301231207,186.9
Malignant neoplasms (cancer) (C00ÐC97),176.4,2008,565469,304093966,186
Malignant neoplasms (cancer) (C00ÐC97),173.5,2009,567628,306771529,185
Malignant neoplasms (cancer) (C00ÐC97),172.8,2010,574743,308745538,186.2
Malignant neoplasms (cancer) (C00ÐC97),169,2011,576691,311591917,185.1
Malignant neoplasms (cancer) (C00ÐC97),166.5,2012,582623,313914040,185.6
Malignant neoplasms (cancer) (C00ÐC97),163.2,2013,584881,316128839,185
Malignant neoplasms (cancer) (C00ÐC97),161.2,2014,591699,318857056,185.6
Malignant neoplasms (cancer) (C00ÐC97),158.5,2015,"595,930",,
"Diseases of heart (390-398,402,404-429)",401.6,1979,733235,224635398,326.4
"Diseases of heart (390-398,402,404-429)",412.1,1980,761085,226624371,335.8
"Diseases of heart (390-398,402,404-429)",397,1981,753884,229487512,328.5
"Diseases of heart (390-398,402,404-429)",389,1982,755592,231701425,326.1
"Diseases of heart (390-398,402,404-429)",388.9,1983,770432,233781743,329.6
"Diseases of heart (390-398,402,404-429)",378.8,1984,765114,235922142,324.3
"Diseases of heart (390-398,402,404-429)",374.9,1985,771169,238005715,324
"Diseases of heart (390-398,402,404-429)",365.1,1986,765490,240189882,318.7
"Diseases of heart (390-398,402,404-429)",355.9,1987,760353,242395034,313.7
"Diseases of heart (390-398,402,404-429)",352.5,1988,765156,244651961,312.8
"Diseases of heart (390-398,402,404-429)",332,1989,733867,247001762,297.1
"Diseases of heart (390-398,402,404-429)",321.8,1990,720058,248922111,289.3
"Diseases of heart (390-398,402,404-429)",312.5,1991,720862,253088068,284.8
"Diseases of heart (390-398,402,404-429)",304,1992,717706,256606463,279.7
"Diseases of heart (390-398,402,404-429)",308.1,1993,743460,260024637,285.9
"Diseases of heart (390-398,402,404-429)",297.5,1994,732409,263241475,278.2
"Diseases of heart (390-398,402,404-429)",293.4,1995,737563,266386596,276.9
"Diseases of heart (390-398,402,404-429)",285.7,1996,733361,269540779,272.1
"Diseases of heart (390-398,402,404-429)",277.7,1997,726974,272776678,266.5
"Diseases of heart (390-398,402,404-429)",271.3,1998,724859,276032848,262.6
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",266.5,1999,725192,279040168,259.9
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",257.6,2000,710760,281421906,252.6
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",249.5,2001,700142,284968955,245.7
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",244.6,2002,696947,287625193,242.3
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",236.3,2003,685089,290107933,236.1
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",221.6,2004,652486,292805298,222.8
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",216.8,2005,652091,295516599,220.7
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",205.5,2006,631636,298379912,211.7
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",196.1,2007,616067,301231207,204.5
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",192.1,2008,616828,304093966,202.8
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",182.8,2009,599413,306771529,195.4
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",179.1,2010,597689,308745538,193.6
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",173.7,2011,596577,311591917,191.5
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",170.5,2012,599711,313914040,191
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",169.8,2013,611105,316128839,193.3
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",167,2014,614348,318857056,192.7
"Diseases of heart (heart disease) (I00ÐI09,I11,I13, I20ÐI51)",168.5,2014,"633,842",,
