STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10
36,1055009,1,1,1,495,0,N4,81,51000,'RTE I495  58 TH STREET  ',,'RTE I495          ','0.9 MI W JCT I278 & I495 ',5.41,3.846,1,495,,40435073,73545426,0,3,1,1,12,1969,6,18,158270,2005,5,29.3,2,0,1,0,1,0,1,5,N,0,0,A,1,1,3,2,0,0,40,0,14.6,36.8,1175.3,0,0,29.3,31,4.85,H,4.59,H,0,0,6,7,7,N,N,1,71.7,1,42.6,7,5,3,5,N,7,34,1,1175.3,1114,24,Y24,N  ,N  ,1114,,,4537,2657,7194,2014,,,,0,N,2,,1,0,1994,1,3,0,0,13,1,,Y,N,221578,2025,,N,5/26/16,B,J ,,L1C0,XM07033,0,47,17,,,2,,94,2,F
36,1055019,1,1,1,495,0,N4,81,51000,'108TH STREET            ',,'RTE I495          ','IN CORONA                ',99.99,9.976,1,495,,40441446,73510698,0,3,1,1,12,1963,8,6,186748,2011,0,37.7,2,3,1,0,0,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,19,25.9,49.6,0,0,38,40,99.99,H,4.29,H,3.1,30.1,7,7,8,N,N,1,86.2,1,50.8,7,9,4,5,N,8,34,1,49.6,515,24,N  ,N  ,N  ,,,,7592,4446,12038,2014,,,,0,N,2,,1,0,2003,1,6,0,0,8,1,,Y,N,261447,2031,,N,5/26/16,B,Z ,,,,,,,,,0,,97,0,G
36,1055040,1,5,1,0907P,0,N3,61,51000,'HARLEM RVR SHORE        ',,'RTE 907P          ','2 MI N JCT TRIBO BR & HRD',99.99,3.298,1,0000PX4M11,,40495472,73560670,1,3,1,1,12,1966,3,0,96224,2009,4,10,0,0,1,0,0,0,1,5,1,0.6,3,A,1,5,5,5,0,0,34,0,10,28.6,333.8,0,0.7,10.1,11,99.99,N,0,N,0,0,6,5,5,7,N,1,49,1,23.6,5,2,N,5,5,8,34,1,333.8,715,24,N  ,Y60,N  ,,713,,90860,53208,144068,2014,,,,0,N,1,,1,0,0,N,6,0,N,4,0,3,Y,3,134714,2029,,N,5/26/16,B,A ,,Q120,XM00005,0,47,15,,,2,,50.1,2,F
36,1055070,1,8,0,0,0,N4,81,51000,'RTE I495  RTE I495  RTE ',,'FLUSHING MEADOW   ','.2 MI NE JCT GCP & I495  ',99.99,0,0,,,40442952,73503277,0,3,1,1,19,1963,2,17,99,2009,5,7.3,0,0,1,1,N,0,0,5,N,0,0,A,5,1,3,2,2,1,6,15,7.3,20.1,202.9,4.5,4.5,7.3,17,99.99,H,4.19,H,0.3,0,6,6,5,N,N,1,46.3,1,27.2,5,6,3,5,N,8,34,1,202.9,314,24,N  ,N  ,N  ,,,,10374,6075,16449,2014,,,,0,N,2,,0,0,0,N,2,0,N,10,0,,Y,N,139,2029,,N,5/26/16,B,A ,,Q100,X228541,0,11,15,,,2,,80.1,2,F
36,1055089,1,1,1,495,0,N4,81,51000,'RTE I678  FLUSHING RIVER',,'RTE I495          ','JCT I495+RTE 678         ',7.99,11.311,1,00000X5M13,,40443604,73501007,1,3,1,1,11,1958,6,14,139212,2010,6,24.7,2,1,1,1,0,1,1,5,0,0,0,A,1,6,3,2,2,4,8,2,12.7,18.5,148.1,1.2,1.2,24.8,28.7,7.99,H,3.71,H,0.4,0.6,5,7,6,9,N,1,85.3,1,50.8,6,4,3,5,8,8,37,1,148.1,514,24,N  ,N  ,N  ,,,,50428,29531,79959,2014,,,,1,N,2,,1,0,0,1,6,0,0,7,1,,Y,8,194897,2030,,N,5/26/16,B,A ,,Q100,X228541,0,11,15,,,2,,83.9,2,F
36,1055090,1,1,7,495,0,N4,81,51000,'RTE I678  FLUSHING RIVER',,'RTE I495          ','JCT I495+RTE 678         ',6.8,0.016,1,00000X5MR0,,40443869,73501902,1,3,1,1,11,1959,2,10,0,2015,6,7.3,0,99,1,0,0,0,0,5,0,0,0,A,5,6,3,2,1,1,6,1,7.3,24.9,123.4,3.1,1.1,7.3,12.3,6.65,H,3.58,H,0.6,0,5,6,6,6,N,1,90.7,1,54.4,6,2,3,5,5,8,36,1,123.4,514,24,N  ,N  ,N  ,,,,11278,6604,17882,2014,,,,0,N,1,,1,0,0,N,2,0,N,4,0,,Y,8,0,0,,N,5/26/16,B,A ,,Q100,XM99204,0,14,14,,,2,,87,2,F
36,1055100,1,5,7,0,0,N4,81,51000,'RTE I678  FLUSHING RIVER',,'LIE SERVICE RD    ','JCT I495 & I678          ',10.06,0,0,,,40443637,73501049,1,3,1,1,19,1958,2,8,12257,1996,6,7.3,0,99,0,0,N,0,0,5,0,0,0,A,5,6,3,2,2,4,6,2,7.3,22.5,114.3,1.1,3.1,7.3,12.3,8.23,H,3.91,H,0.6,0,6,6,5,7,N,1,89.8,1,53.5,5,2,2,5,5,8,31,1,114.3,414,24,N  ,N  ,N  ,,,,13936,1308,15244,2014,,,,0,N,1,,0,0,0,1,1,0,0,4,0,,Y,8,17160,2016,,N,5/26/16,B,A ,,Q100,XM99204,0,14,17,,,2,,62,2,F
36,1055129,1,5,0,0,0,N4,81,51000,'RTE I495  RTE I495      ',,'MAIN STREET       ','.6 MI E I495+RTE 678     ',99.99,3.846,0,,,40443201,73493104,1,3,1,1,14,1958,6,6,17066,2007,6,19.8,2,28,0,0,0,0,0,5,N,0,0,A,5,1,3,2,0,0,2,0,9.9,18.5,38.7,4.6,4.6,21.3,31.4,99.99,H,4.39,H,2.5,0.9,5,6,5,N,N,1,71.7,1,42.6,5,2,3,5,N,8,36,1,38.7,615,24,N  ,N  ,N  ,,,,1919,1124,3043,2014,,,,0,N,2,,1,0,1993,1,6,0,0,7,0,,Y,N,23892,2027,,N,5/26/16,B,A ,,Q230,XM99204,0,14,14,,,2,,60.6,2,F
36,1055149,1,5,0,0,0,N4,81,51000,'RTE I495  RTE I495      ',,'KISSENA BOULEVARD ','1.2 MI SE JCT I495 & I678',99.99,1.609,0,,,40441999,73485412,1,3,1,1,14,1958,6,6,22875,2014,6,21.3,2,23,0,1,N,0,0,5,N,0,0,A,5,1,3,2,0,0,2,0,9.9,17.6,38.1,4.6,4.6,19.8,31.4,99.99,H,4.37,H,2.1,0,6,7,7,N,N,1,74.4,1,44.5,7,2,3,5,N,8,36,1,38.1,314,24,N  ,N  ,N  ,,,,2289,1340,3629,2014,,,,0,N,2,,1,0,1996,1,6,0,0,7,0,,Y,N,32025,2034,,N,5/26/16,B,A ,,Q100,XM99204,0,14,17,,,2,,74.5,2,F
36,1055169,1,5,0,0,0,N4,81,51000,'RTE I495  RTE I495      ',,'164TH  STREET     ','1.8 MI SE I495+RTE 678   ',99.99,7.096,0,,,40441816,73481689,1,3,1,1,16,1958,6,6,13790,2011,5,24,2,5,0,0,1,1,1,5,N,0,0,A,5,1,3,2,0,0,2,0,11.2,16.4,34.4,4.5,3,24.1,32,99.99,H,4.39,H,2.1,0.6,5,6,6,N,N,1,99.9,1,63.5,6,5,3,5,N,8,36,1,34.4,515,24,N  ,N  ,N  ,,,,2037,1193,3230,2014,,,,0,N,2,,0,0,0,1,6,0,0,7,0,,Y,N,19306,2031,,N,5/26/16,B,A ,,L010,XM08513,0,14,17,,,2,,93.3,2,F
36,1055189,1,1,1,495,0,N4,81,51000,'UTOPIA PARKWAY          ',,'RTE I495          ','2.4 MI SE JCT I495 & I678',99.99,15.318,1,495,,40442084,73473480,0,3,1,1,11,1958,6,6,123884,2002,5,28.9,2,23,0,0,1,1,1,5,N,0,0,A,1,1,3,2,0,0,1,0,15.4,34.1,35.6,0,0,30.9,32.4,99.99,H,4.39,H,4.6,0,6,7,6,N,N,1,68.9,1,40.8,6,9,5,5,N,8,34,1,35.6,314,24,N  ,N  ,N  ,,,,292,171,463,2014,,,,1,N,2,,1,0,0,1,6,0,0,10,1,,Y,N,173438,2022,,N,5/26/16,B,Z ,,Q230,XM99204,0,14,17,,,0,,97,0,F
36,1055199,1,5,0,0,0,N4,81,51000,'RTE I495  495I495IX5M141',,'188TH STREET      ','2.8 MI E I495+RTE 678    ',99.99,4.087,0,,,40442699,73471243,1,3,1,1,14,1958,6,6,12917,2011,5,19.8,2,0,0,0,N,0,0,5,N,0,0,A,5,1,3,2,0,0,2,0,19.8,16.1,32.9,4.5,4.5,18.3,29.3,99.99,H,4.37,H,2.1,1,5,4,5,N,N,1,68,1,39.9,4,2,3,5,N,8,34,1,32.9,1115,24,N  ,N  ,N  ,,,,7289,4268,11557,2014,,,,0,N,2,,1,0,0,1,2,0,0,7,0,,Y,N,18084,2031,,N,5/26/16,B,A ,,Q100,XM99204,0,14,17,,,1,,47.5,1,P
36,1055209,1,5,0,0,0,N4,81,51000,'RTE I495  495I 495IX5M13',,'FRNCIS LEWIS BLVD ','I495 AT EXIT 26          ',99.99,11.665,0,,,40443588,73463253,1,3,1,1,14,1960,6,8,10073,2009,5,23.1,2,9,0,0,N,0,0,5,N,0,0,A,5,1,3,2,0,0,3,0,23.1,20.1,55.7,4.5,3,23.2,31.3,99.99,H,4.62,H,1.8,0.6,6,6,7,N,N,1,54.4,1,32.7,6,4,3,5,N,8,34,1,55.7,1114,24,N  ,N  ,N  ,,,,473,277,750,2014,,,,0,N,2,,1,0,1996,1,2,0,0,7,0,,Y,N,14102,2029,,N,5/26/16,B,A ,,Q230,XM99204,0,14,17,,,2,,91.5,2,F
36,1055210,1,1,7,295,0,N4,81,51000,'RTE I495  RTE I495      ',,'RTE I295          ','JCT I495+I78             ',99.99,0,0,,,40443579,73463074,1,3,1,1,11,1960,1,6,17877,2011,5,10.1,0,99,0,1,1,0,1,5,N,0,0,A,1,1,3,2,0,0,2,0,7.3,16.4,34.1,0,0,10.1,11,99.99,H,4.65,H,0.6,1.2,6,6,6,N,N,1,91.6,1,54.4,6,9,3,5,N,8,34,1,34.1,1115,24,N  ,N  ,N  ,,,,27,16,43,2014,,,,2,N,1,,1,0,2003,1,2,0,0,10,1,,Y,N,25028,2031,,N,5/26/16,B,A ,,Q920,X034205,0,14,14,,,2,,93.1,2,F
36,1055220,1,1,7,495,0,N4,81,51000,'RTE I495  RTE I495      ',,'RTE I495          ','JCT I495+I78             ',99.99,0.241,0,,,40443776,73462039,1,3,1,1,11,1960,1,8,4776,2011,5,7.3,0,99,0,0,0,0,1,5,N,0,0,A,1,1,3,2,0,0,2,0,8.3,23.1,44.8,0,0,8.4,9.4,99.99,H,4.88,H,0.5,1,7,8,7,N,N,1,88.9,1,53.5,7,9,3,5,N,8,34,1,44.8,715,24,N  ,N  ,N  ,,,,130,76,206,2014,,,,2,N,1,,1,0,0,1,2,0,0,10,0,,Y,N,6686,2031,,N,5/26/16,B,L*,,440,4951178,1,12,12,,,2,,91.8,2,G
